url,predicted_category,confidence,reasoning,timestamp
https://tidycal.com/,2_Persuasive,high,"The single clear CTA above the fold and social proof elements such as 'Product of the day 1st', 'Product of the week 1st', and 'Product of the month 2nd' on Product Hunt indicate a persuasive design intent.",2026-03-02T20:28:01.295667+00:00
https://www.eventbrite.com/,2_Persuasive,high,The presence of a single clear CTA above the fold and a prominent call-to-action button 'Get Into Live Music' with minimal competing elements suggests a persuasive design intent.,2026-03-02T20:28:10.468655+00:00
https://motorolanews.com/,2_Persuasive,high,"The presence of a clear and prominent title, a large hero image showcasing a product, and a navigation menu with simple options suggests a persuasive design intent to engage users and guide them toward a conversion action.",2026-03-02T20:28:22.173909+00:00
https://xn--sr8hvo.ws/,3_Neutral,high,"The presence of a prominent directory page link, a random site link, and a minimal sign-in form with no aggressive CTAs or manipulative elements suggests a utility-focused interface that helps users find information and leave.",2026-03-02T20:28:28.972713+00:00
https://breezedoc.com/,2_Persuasive,high,"The presence of a single clear CTA above the fold, social proof elements such as 'Trusted by 20k+ businesses', and a strong visual hierarchy that serves comprehension are indicative of a persuasive design intent.",2026-03-02T20:28:38.872980+00:00
https://luma.com/,2_Persuasive,high,"The presence of a single clear CTA above the fold ('Create Your First Event') and a visually appealing, straightforward design focused on encouraging event creation.",2026-03-02T20:28:46.408025+00:00
https://govbase.com/,2_Persuasive,medium,The presence of a clear call-to-action ('Get Started') and a prominent section highlighting trending news and upcoming elections suggests an intent to engage users and guide them toward further interaction.,2026-03-02T20:29:03.332941+00:00
https://formrobin.com/,2_Persuasive,high,"The prominent single clear CTA above the fold, 'Create Your Free Form', with supporting text and no aggressive or manipulative elements.",2026-03-02T20:29:41.601656+00:00
http://example.net/,4_Grounding,high,"The presence of long-form editorial text and a simple, minimalistic design with a clear title and a single link to 'Learn more' suggests a focus on presenting information rather than driving a specific action.",2026-03-02T20:29:47.909761+00:00
https://e.foundation/,2_Persuasive,high,"The presence of a single clear call-to-action (CTA) above the fold, along with a prominent visual hierarchy and narrative elements, indicates a persuasive design intent.",2026-03-02T20:29:57.014961+00:00
https://opencollective.com/,2_Persuasive,high,The single clear CTA above the fold and the presence of a 'Start Now' button with a minimalistic design and clear typography indicate a persuasive design intent.,2026-03-02T20:30:04.330314+00:00
https://help.appsumo.com/,3_Neutral,high,"The prominent search input field as the primary affordance on the page indicates a focus on helping users find information efficiently, which is characteristic of a Neutral design intent.",2026-03-02T20:30:12.254393+00:00
https://starlightconvenience.net/,4_Grounding,high,"The presence of long-form editorial text and a minimal, almost academic layout with a focus on reading, along with a low saturation color palette and no visible CTAs or manipulative elements, indicates a design intent to leave users present and informed.",2026-03-02T20:30:49.047654+00:00
https://fraidyc.at/,2_Persuasive,high,"The presence of a clear and prominent call-to-action (CTA) to download the Fraidycat extension, along with a simple and focused design, indicates a persuasive intent to encourage users to install the extension.",2026-03-02T20:30:57.429175+00:00
